N,K,eta,p,max_qfi,coeffs,combinations
3,2,1.0,0.4,14.91432092926004,"0.6434572654517554,2.8095521629688635e-19,8.343174275503317e-05,0.5412779134112855,0.0,5.4135056818433086e-05,7.444946559719397e-05,8.344267634333751e-05,7.442544698882186e-05,0.5412778241201056","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.6,14.91432092926004,"0.6434572654517554,2.8095521629688635e-19,8.343174275503317e-05,0.5412779134112855,0.0,5.4135056818433086e-05,7.444946559719397e-05,8.344267634333751e-05,7.442544698882186e-05,0.5412778241201056","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,0.8,14.914320873482318,"0.6434572683524984,0.0,8.34257987125572e-05,0.5412781444670486,4.0290156059409905e-20,5.4119832021264604e-05,7.452096860578224e-05,8.341213969271056e-05,7.448334653056821e-05,0.5412775896149693","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,1.0,1.0,14.914320934044277,"0.6434572652318348,8.228129030288077e-20,8.344537641058223e-05,0.5412785623630906,1.1367276324726745e-19,5.411315414227604e-05,7.441632047840277e-05,8.34193449878399e-05,7.44172005442132e-05,0.5412771755036188","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[1.0, 0.5]",0.0,7.253859160923783,"0.5511110301115263,2.553562683034748e-05,8.55348150791279e-05,0.5644951784242156,4.658681209898652e-21,0.0008490287941929128,0.0,0.0,0.49325896631834015,0.3664931606451467","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[1.0, 0.5]",0.2,7.253859246381544,"0.5511110468095888,2.5492391438204068e-05,8.548688198304773e-05,0.5644951412048224,1.6093625997831706e-20,0.0008489292995881889,1.0842021724855044e-19,0.0,0.4932589768291266,0.36649317777001933","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[1.0, 0.5]",0.4,7.253859182125856,"0.5511110475559371,2.557661816618187e-05,8.56295923852947e-05,0.5644951474380544,9.317362419797304e-21,0.0008489625806751632,0.0,0.0,0.4932589753817832,0.36649316765810813","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[1.0, 0.5]",0.6,7.253859182125856,"0.5511110475559371,2.557661816618187e-05,8.56295923852947e-05,0.5644951474380544,9.317362419797304e-21,0.0008489625806751632,0.0,0.0,0.4932589753817832,0.36649316765810813","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[1.0, 0.5]",0.8,7.253859199912753,"0.551111032105727,2.5520503786922972e-05,8.555013105727147e-05,0.5644951710722105,0.0,0.0008491023802194459,0.0,0.0,0.49325896718647794,0.3664931673094296","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
3,2,"[1.0, 0.5]",1.0,7.253859160923783,"0.5511110301115263,2.553562683034748e-05,8.55348150791279e-05,0.5644951784242156,4.658681209898652e-21,0.0008490287941929128,0.0,0.0,0.49325896631834015,0.3664931606451467","0,0;0,1;0,2;0,3;1,0;1,1;1,2;2,0;2,1;3,0"
